variable_1,variable_2
"Ę̀yà – ara gbòógì nípa eré àgbéléwò dáradára yìí ni pé , kò wẹ̀ Seyi mó  rárá : kò le wẹ ara ẹ̀ mó nínú àfésódì àti ìbàjé tó kó ra ẹ̀ sí",positive
"“ Narradores de jave"" Jẹ́ eré tó ń  pánilérìn pẹ̀lú ìṣẹ̀lẹ̀ pérétè  tí a tì léyìn pelu  àwòrán gidi , ìpele sí ìpele tó dára tó sì kún fún àwọn  òṣèré  lókùrin ati lóbìnrin.",positive
"“Narradores de jave"" eré àgbéléwò ti àwọn ènìyàn ò ti mò nípa púpò kódà ni ìlú Brazil ti wón tí ń ṣe é , jẹ́ eré àgbéléwò Brazil tó dára tó sì jẹ́ pàtóo.",positive
"Ìtàn tí a  gbélẹ̀ ni ọ̀nà tó yàtọ̀ 
Eléyìí jẹ́ eré àgbéléwò to múná-dóko . Wo eré yìí pẹ̀lú inú kan.",positive
"O dára sùgbọ́n ó rújú díè
Mo féràn àdìtú nípa ìpànìyàn ti orílè-èdè Nàìjíríà. Àwọn ìsèlè da sùgbón ènìyàn tilè mọ ibi tí eré náà ń lọ àmọ́ mo ní ìfé síí eré náà.",positive
"Eré àgbéléwò ti Nàìjíríà tó dára ni èyí
 
Ogun tí ó ń ṣẹlẹ̀ ní orílè-èdè Nàìjíríà yìí jẹ́ rògbòdìyàn tí kò dára, eré yìí fi ìhà búburú orílè-èdè yìí hàn. Erè tó ní ìjà ni.",positive
"Ìtàn nípa ògùn pín sí oríṣi mẹ́ta nínú eré àgbéléwò tó pàdé sí wákàtí kan lé ogún ìṣéjú. Ìtàn  àkókó “love portion"" lódùn ju . Elékejì “yam"" burú jáì àti elékeèta ‘suffer the witch' dùn díẹ̀. Eré méjì nínu méta dára, wọ́n gbìyànjú.",positive
"O dára tí ó bá gbádùn kókó- òrò eré àgbéléwò náà
Tí ó bá  jẹ́ pé ķókó òrò  náà ló gbádùn dájúdájú eré àgbéléwò tí ó dára ni.
Àmọ́ bí fíìmù náà ti ń lọ ti fàà jù. Níṣe ló dà bíi eni wípé wọ́n fẹ́ tẹlè múyé.",positive
"Mo maa sọpé: Ó tó bẹ, ó ju be lo!
 
Eré àgbéléwò náà dára ,ó kún fún àwọn  òshèré tó mọ  isé. Bó tilẹ̀ jẹ́ pé ó n fáà lẹ́kọ̀ọ̀kan (bíi wákàtí méjì lápapò) . Lọ́kàn mi eeré náà tó bẹ́ẹ̀ . Eré àgbéléwò yìí kò sí lára àwọn fíìmù  tó dára jù, tí ó yẹ kí ènìyàn wò ni àsìkò kòrónà yìí……
 
Àmọ́ mo fẹ́ràn rẹẹ̀.",positive
"Eré- aládùn tó ní ìrírí  tó sì ń lo létòlétò.
 
Eré  tó dára, tó sì dá lóríi  ìṣẹ̀lẹ̀ tó ń lọ káàkàkiri,  ìtàn náà sì  jágere, àmọ́  wọ́n o ṣe kíá kíá , ṣe ló fáà , àti pé  irúfé  orin tí wọ́n lò àti bí wọn ti gbàkókò ènìyàn kò yẹ fún irú eré àgbéléwò báyìí .
Àmọ́  ó dára ní wíwò fún ẹni  tó bá ní àkòkò púpò lọ́wọ́.",positive
"Òládùn àmọ́….
 
Àsọdùn pọ̀ nínú eré  náà. Ṣùgbọ́n mo gbádùn rẹ̀. Lọ́nà míràn ẹ̀wẹ̀, eléyìí wá láti gbóríyìn fà wọn dókítà àti elétò ara tí wọn kọjú àwọn àarùn káàkiri àgbáyé.",positive
"Láyé àarùn covid-19 yìí, moférè lè má gbàgbó pé àwọn fíìmù to dára báyìí si wa.",positive
"Eré àgbéléwò dìdára lórí jákèjádò- orílè-èdè 
 
Oun kan pàtó tí mi ò  féràn nípa fíìmù yìí ni pé ko si ibásepò pẹlu ágbègbè orílè-èdè Nàìjíríà ati india bó ti  wu ó kéré mọ. 
 
Eré àgbéléwò ìfé tó lárindin lè yìí",positive
Fíìmù Arie ati Chuko Esiri  yénii nípa àfojúsí àtúnṣe sí àwọn ìdíwó  tó wà  láti ṣe àṣeyọrí.,positive
"“ Narradores de jave"" Jẹ́ eré tó ń  pánilérìn pẹ̀lú ìṣẹ̀lẹ̀ to dára àti eré ṣíṣe to kún ojú òsùnwọ̀n, ìdarí náà dára púpọ̀, eré náà sì kún fún àwọn  òṣèré lókùrin ati lóbìnrin tí wón ṣe iṣé wọn dájú.",positive
"Ìtàn nípa ògùn pín sí oríṣi mẹ́ta nínú eré àgbéléwò tó pàdé sí wákàtí kan lé ogún ìṣéjú. Ìtàn àkọ́kọ́ “love portion"" lódùn ju . Elékejì “yam"" burú jáì àti elékeèta ‘suffer the witch' dùn díẹ̀. Eré méjì nínu méta dára, wọ́n gbìyànjú.",positive
"Mo maa sọpé: Ó tó bẹ, ó ju be lo!
 
Eré àgbéléwò náà dára ,ó kún fún àwọn  òshèré tó mọ  isé. Bó tilẹ̀ jẹ́ pé ó n fáà lẹ́kọ̀ọ̀kan ( bíi wákàtí méjì lápapò) . Lọ́kàn mi eeré náà tó bẹ́ẹ̀ . Eré àgbéléwò yìí kò sí lára àwọn fíìmù  tó dára jù, tí ó yẹ kí ènìyàn wò ni àsìkò kòrónà yìí……
 
Àmọ́ mo fẹ́ràn rẹẹ̀.",positive
"Eré àgbéléwò dìdára lórí jákèjádò- orílè-èdè 
 
Oun kan pàtó tí mi ò  féràn nípa fíìmù yìí ni pé ko si ibásepò pẹlu ágbègbè orílè-èdè Nàìjíríà ati india bó ti  wu ó kéré mọ. 
 
Eré àgbéléwò ìfé tó lárindin lè yìí",positive
"Ó mu mí  mólè !!!
 
Mo gbádùn rẹ. Èyí jẹ́ eré àgbéléwò tó dára púpò to jáde wá lá́ti inú àwọn fíìmù Hollywood . Mi ò fi àkókò mi ṣòfò rara.",positive
Eréym yìí jẹ́ àwòrán dídára tí ó sá fihàn iwọntún-wọnsì láàrin ayo àti ìbànújẹ́ nígbà ìjà ogún abẹlẹ ni Nàìjíríà. Mo feran rẹ mọ sì tún ro awon eniyan lati wo.,positive
Kò sí ọ̀rọ̀ kánkán tí ó le júwe irú agbára tí ère yìí ni ati wípé ó ṣe ìrántí oriire tí ó jé láti là ìjà abéle kọjá. Ìtàn àgbàyanu tí ó sọ nípa ìtàn ìṣẹ̀lẹ̀ ni burúkú tí orílẹ̀-èdè Nàìjíríà àti nípa àwọn ènìyàn inú rẹ.,positive
Ise Òṣeré tí ó pè dé gé tí ó sì ní ìmọ̀lára gidigidi. Ìtàn na lágbára.,positive
Ere yìí jé ìtàn tòótọ́ tí ó sì jẹ ìṣe ọpọlọ,positive
"MO ṣẹ̀ṣẹ̀ wo ère yìí ni The Newport Beach Film Festival, o si je ará àwọn ère tí ó dára púpọ̀ tí mo ti wò. Ère náà ni ìwọ̀n tí ó dára pẹ̀lú kiko àti ìgbèjà de tí ó dára.",positive
"MO ti ká ìwé náà, mo sì rọ wípé èrè náà dára pẹlu iṣẹ́ tó lágbára nípasẹ̀ àwọn Òṣeré pàtàkì. Ó jé ọkàn lára àwọn ère tó dára tí mo ti wò nínú ọdún yìí pẹlu ìròyìn àtijó tó wepọ mọ ìtàn náà.",positive
Ìparí tí ó dára. Ère yìí mú kí nifẹ si títí dé ìparí tí ó sì ní ra láti rí nínú àwọn ère láyé òde yìí. Bó tilẹ̀ jẹ́ pé èèyàn lè sọ nkan ti o ṣẹlẹ̀ nínú eré náà sibesibe ó ti fi èèyàn sínú òkùnkùn.,positive
Ere yìí panilerin,positive
"Ise Destiny Ekaragha ""Gone too far"" jọ londonu, Naijiria ati Jamaica, ó sì pani lè rìn púpò. ó mú mi sínú aranpo, mo sì rẹ́rìn-ín kárakára títí tí aranpọ náà fi ja. Mo feran ìtàn ère náà tí ó ní ìwọ̀n tí ó yára, pelu orin rẹ tó peni mọ́ra.",positive
Eré tí o dára .,positive
"Ọkàn lára àwọn ère tí ó ní ìṣe ṣíṣe tí ó dára ní àkókò yìí. 
Eré yìí jé ọkàn nínú àwọn eré tí ó dára tí ó sì tayọ ni ìran yìí. Ère fi imolara àwọn olùwò hàn nínú gbogbo ère náà, eré náà sise dáradára nípa mímú onírúurú ọ̀nà eré sise papọ. Ona mìíràn láti ṣàpèjúwe eré yìí ni wípé ó jé àlà ilé titun nínú ilé ìṣe tí ó sì jẹ wípé yóò mú kí ìṣe atinuda wá. Ọjọ́ iwájú Nollywood dára púpọ̀ pẹ̀lú ìgbèjà dé fíìmù yìí.",positive
"Eré ti wọn kọ dára tí wọn sì dárí dáadáa pelu. 
Nàìjíríà je orílẹ̀-èdè tí ó yàtọ̀ pelu ilẹ̀, iye ènìyàn àti onírúurú tí ó wà nínú rẹ. Eré Doctor Lanre fọwọ́ bà gbògbò èka ìgbé ayé ènìyàn lójoojúmọ́. Eré dókítà Lanre je dandan láti wò.",positive
"Eré nla fún wíwò.
Dokita Lanre jẹ eré ti won kọ dáadáa, ti o ṣàfihàn onírúurú iwa ti o sí wo titi dé òpin. Eré tó yẹ fún wíwò gbogbo ènìyàn bóyá ọmọ kékeré tabi arúgbó, eni to ti gbeyawo ni tabi eni ti ko ti gbeyawo. Ma má fojusona fún àgbéyẹwò mìíràn.",positive
"Dokita Lanre jẹ ìyípadà tó dùn moní.
Inu mi dun wipe mo wà lára àwọn ti o kọkọ wá nínú reluwe eré yii. Ìyípadà ti o dun mo ni ni o jẹ. Ìtàn na ni ìpìlẹ ti o dára tí wọn sì gbé jade dáadáa nipasẹ ìkópa awọn òṣèré ti o kún oju oṣuwọn.
Eré tó yẹ fún wíwò.",positive
"Eré nla.
 
Iṣẹ atinuda ti o yanilenu. Nítorípé mi o le ṣọtẹlẹ nkan ti yóò ṣẹlẹ nipari yamilenu gidigidi. Ifẹnisokunkun náà lagbara. Kò sí asẹsẹ ti ma fi àkókò ẹni ṣofo, niiṣe ni eré náà lọ tààrà síbi kókó eré náà.  Eléyìí sì yii ìtàn sísọ àwọn Nollywood pada, koriya fún olukowẹ ati oludari. Mo ro awon eniyan lati wo.",positive
"Ikọwẹ ti o yanilenu
Dokita Lanre jẹ eré tó yanilenu. Mo gbádùn arami nigbati mo wo. O ṣàfihàn igbe-aye ojojumọ awon eniyan, iye-eniyan ati ẹkùn, o yàtọ o sí dun fún wíwò.",positive
"Ọkan lára àwọn eré tó dára jùlọ ní Naijiria.
Eré 'a better family jẹ eré ti mo gbé ìwúrí fún nigbati a n ba sọrọ awọn eré Nollywood Naijiria. Eré yii jẹ eré ti o gbádùn gbogbo rẹ lati ibere titi dé òpin. Ẹkọ rẹ lórí ibaṣepọ fún àwọn tó ti gbeyawo ati awọn ti won ko ti gbeyawo yamilenu gidigidi. Eré yii jẹ agbọdọ wo fún àwọn tó ti gbeyawo ati awon odo ọsọro.",positive
"Eré ọpọlọ, ti o dára fún wíwò.",positive
Eré iyalẹnu gidigidi. Ìkópa òṣèré didara nipasẹ òṣèré pakiti obìnrin.,positive
O dára láti rí eré Nollywood ti sọ ẹyà papọ ti o polongo dọgbadọgba laarin ọkunrin ati obinrin ni ona ti yanilenu.,positive
Eré tó dára pẹlú idapọ asa ni ona tó dára. Ẹkọ pọ lati kọ latara obìnrin akínkanjú to gbìyànjú láti já ipo re ninu Aye tó awọn ọkunrin joba le lori. Eré tó dára gidigidi.,positive
"Eré nla, mo fi ìfẹ ranṣẹ láti naija.",positive
Ìtàn to lewa ti o ṣàfihàn àṣà ilẹ Nàìjíríà. Ìtàn náà yàtọ ti o sí nira lati lè mọ ìparí rẹ gẹgẹ bi awọn eré Naijiria miiran. Agbọdọ wo ni eré náà,positive
"Genevieve Nnaji kan ẹsẹ mọlẹ ninu awọn.oludari olóyè. Kò já kulẹ nínú iṣẹ àkọkọ rẹ. Eré lion heart je agbọdọ wo, bi o se polongo ibi Nollywood káàkiri àgbáyé.",positive
"Mo gbádùn eré yii gidigidi. Won ya dáradára, o sí panilerin",positive
"Eré ẹlẹwà,... Idapọ ohun gbogbo",positive
"Eré yii aṣoju tó dára ní ayé òde òni nipa awọn idile to dari ilé-iṣẹ́ to n dojukọ wàhálà ni Naijiria. Iṣẹ ìyàwòrán, ipa awọn òṣèré àti gbogbo àyíká eré náà mú kí eré na pedege. Mo fẹràn rẹ.",positive
Ọpọlọpọ ẹkọ ninu eré ti o rọrun. Ìtàn náà dára o sí tun ni nínú.,positive
Ìtàn to sọwọn nipa àṣà ìdílé lati ọna ti o yàtọ ti won sì gbejade pẹlu òṣèré ti o koju osunwon.,positive
Eré náà ṣàfihàn ti o yàtọ ti a gba wo Naijiria nipasẹ òṣèré pataki obinrin ti o sakitiyan lati duro lori ẹsẹ rẹ laarin aṣa owo ti awọn ọkunrin joba le lori. Awọn òṣèré papa julọ 'Uncle' panilerin gidigidi.,positive
O jẹ igba otun lati wo lati ibere titi dé opin. Iyapa ti o dára láti iru àwọn eré Nollywood tele. Òṣèré àgbà Peter Edochie ati Nkem Owoh ṣàfihàn bi won je awon osere to kún oju oṣuwọn ni Nollywood. Genevieve fi gbendeke sílẹ fún àwọn òṣèré abẹle pẹlu Lion heart ati pẹlu isẹ àkọkọ rẹ gẹgẹ bi oludari. Ẹnikan fún ni àmì ẹyẹ.,positive
"Eré ṣíṣe nlá, isatunkọ to dara ti o se pelu ìtàn tó dára, eré kíkọ náà dára pẹlú, ni àkótán, iṣẹ nla láti ọwọ Genevieve Nnaji.",positive
Ìtàn òtítọ ti o ba ni nínú jẹ ti o sí kọni l'omi mu. Iṣẹ iṣèré ti o yàtọ nipasẹ Damson Idris. Eré ti o yàtọ sí àwọn miiran ti o sí yẹ fún wíwò.,positive
Eré to yanilenu tí a gbọ́dọ̀ wo.,positive
"Eré to tayọ, báni nínú jẹ́, tí ó dunni tí ó sì kún fayo pẹlu",positive
"Mo ri ere yii ni FIFF (festival de films international dé Fribourg ìn Swiss). Ìtàn na rẹwa ati wipe Adéwálé Akinnuoye Agbájé se bẹbẹ. Bi o ba le wo eré náà, o ni láti lọ, kì yóò bá ọ ninu jẹ.",positive
Eré yìí tayọ. Nollywood dìde sókè.,positive
Eré ńlá. Mo gbádùn bí wọn benu àtẹ́ lú aisedede àwọn ọlọ́rọ̀ àti àwọn alágbára ju kí a mo ṣe ìwàláàyè wọn lógo.,positive
Eré to ye fún Wiwo. Ó wú mi lórí.,positive
"Mo fẹràn rẹ. Mo ro wipe won ti fe le sọ ète eré náà nu ni ìparí. Mo fẹràn gbogbo awọn ohun àṣírí ati àròsọ ti o ṣẹlẹ. Mo fẹràn ede míràn tí wọn lo, biotilẹjẹpe, mi o mọ iru ede ti o jẹ sùgbón o dun gbọ leti.",positive
