Language,flores_code,language_code
Khmer,khm_Khmr,km
Kikuyu,kik_Latn,ki
Kinyarwanda,kin_Latn,rw  
Kyrgyz,kir_Cyrl,ky 
Kimbundu,kmb_Latn,kmb  
Northern Kurdish,kmr_Latn,ku  
Kikongo,kon_Latn,kg  
Korean,kor_Hang,ko
Lao,lao_Laoo,lo     
Ligurian,lij_Latn,lij
Limburgish,lim_Latn,li  
Lingala,lin_Latn,ln
Lithuanian,lit_Latn,lt
Lombard,lmo_Latn,lmo    
Latgalian,ltg_Latn,ltg
Luxembourgish,ltz_Latn,lb   
Luba-Kasai,lua_Latn,lua
Ganda,lug_Latn,lg
Luo,luo_Latn,luo      
Mizo,lus_Latn,lus
Standard Latvian,lvs_Latn,lv  
Magahi,mag_Deva,mag 
Maithili,mai_Deva,mai
Malayalam,mal_Mlym,ml
Marathi,mar_Deva,mr
Minangkabau (Arabic script),min_Arab,min  
Minangkabau (Latin script),min_Latn,min   
Macedonian,mkd_Cyrl,mk
Plateau Malagasy,plt_Latn,plt       
Maltese,mlt_Latn,mt
Meitei (Bengali script),mni_Beng,mni  
Halh Mongolian,khk_Cyrl,khk  
Mossi,mos_Latn,mos
Maori,mri_Latn,mi
Burmese,mya_Mymr,my  
Dutch,nld_Latn,nl
Norwegian Nynorsk,nno_Latn,nn  
Norwegian Bokmål,nob_Latn,nb 
Nepali,npi_Deva,ne
Northern Sotho,nso_Latn,nso  
Nuer,nus_Latn,nus
Nyanja,nya_Latn,ny   
Occitan,oci_Latn,oc 
West Central Oromo,gaz_Latn,gaz   
Odia,ory_Orya,or
Pangasinan,pag_Latn,pag    
Eastern Panjabi,pan_Guru,pa
Papiamento,pap_Latn,pap   
Western Persian,pes_Arab,fa
Polish,pol_Latn,pl
Portuguese,por_Latn,pt 
Dari,prs_Arab,prs
Southern Pashto,pbt_Arab,pbt    
Ayacucho Quechua,quy_Latn,quy  
Romanian,ron_Latn,ro
Rundi,run_Latn,rn
Russian,rus_Cyrl,ru
Sango,sag_Latn,sg  
Sanskrit,san_Deva,sa
Santali,sat_Olck,sat    
Sicilian,scn_Latn,scn
Shan,shn_Mymr,shn  
Sinhala,sin_Sinh,si 
Slovak,slk_Latn,sk
Slovenian,slv_Latn,sl
Samoan,smo_Latn,sm  
Shona,sna_Latn,sn
Sindhi,snd_Arab,sd  
Somali,som_Latn,so
Southern Sotho,sot_Latn,st
Spanish,spa_Latn,es
Tosk Albanian,als_Latn,als     
Sardinian,srd_Latn,sc
Serbian,srp_Cyrl,sr
Swati,ssw_Latn,ss 
Sundanese,sun_Latn,su  
Swedish,swe_Latn,sv
Swahili,swh_Latn,sw 
Silesian,szl_Latn,szl
Tamil,tam_Taml,ta  
Tatar,tat_Cyrl,tt
Telugu,tel_Telu,te
Tajik,tgk_Cyrl,tg  
Tagalog,tgl_Latn,tl 
Thai,tha_Thai,th  
Tigrinya,tir_Ethi,ti
Tamasheq (Latin script),taq_Latn,thv  
Tamasheq (Tifinagh script),taq_Tfng,thv
Tok Pisin,tpi_Latn,tpi    
Tswana,tsn_Latn,tn
Tsonga,tso_Latn,ts 
Turkmen,tuk_Latn,tk
Tumbuka,tum_Latn,tum  
Turkish,tur_Latn,tr
Twi,twi_Latn,tw 
Central Atlas Tamazight,tzm_Tfng,tzm  
Uyghur,uig_Arab,ug   
Ukrainian,ukr_Cyrl,uk   
Umbundu,umb_Latn,umb
Urdu,urd_Arab,ur
Northern Uzbek,uzn_Latn,uz 
Venetian,vec_Latn,vec
Vietnamese,vie_Latn,vi
Waray,war_Latn,war   
Wolof,wol_Latn,wo
Xhosa,xho_Latn,xh
Eastern Yiddish,ydd_Hebr,ydd  
Yoruba,yor_Latn,yo
Yue Chinese,yue_Hant,yue   
Chinese (Simplified),zho_Hans,zh 
Chinese (Traditional),zho_Hant,zh
Standard Malay,zsm_Latn,zsm
Zulu,zul_Latn,zu
